S,I,D,R,steps
80.0,9.0,11.0,0.0,22.0
82.0,8.0,10.0,0.0,19.0
84.0,6.0,10.0,0.0,17.0
80.0,7.0,13.0,0.0,23.0
85.0,6.0,9.0,0.0,15.0
79.0,9.0,12.0,0.0,24.0
83.0,7.0,10.0,0.0,18.0
78.0,11.0,11.0,0.0,25.0
74.0,9.0,17.0,0.0,34.0
82.0,6.0,12.0,0.0,22.0
81.0,6.0,13.0,0.0,25.0
79.0,8.0,13.0,0.0,24.0
72.0,14.0,14.0,0.0,34.0
80.0,3.0,17.0,0.0,27.0
77.0,11.0,12.0,0.0,27.0
75.0,10.0,15.0,0.0,31.0
82.0,8.0,10.0,0.0,20.0
81.0,6.0,13.0,0.0,23.0
75.0,10.0,15.0,0.0,31.0
77.0,11.0,12.0,0.0,26.0
73.0,11.0,16.0,0.0,36.0
78.0,5.0,17.0,0.0,30.0
71.0,11.0,18.0,0.0,39.0
84.0,3.0,13.0,0.0,20.0
83.0,5.0,12.0,0.0,19.0
83.0,7.0,10.0,0.0,17.0
69.0,12.0,19.0,0.0,41.0
85.0,3.0,12.0,0.0,17.0
80.0,13.0,7.0,0.0,19.0
81.0,5.0,14.0,0.0,25.0
80.0,6.0,14.0,0.0,25.0
80.0,8.0,12.0,0.0,22.0
78.0,10.0,12.0,0.0,26.0
84.0,5.0,11.0,0.0,18.0
83.0,5.0,12.0,0.0,21.0
84.0,8.0,8.0,0.0,16.0
81.0,8.0,11.0,0.0,21.0
80.0,5.0,15.0,0.0,28.0
74.0,12.0,14.0,0.0,30.0
81.0,5.0,14.0,0.0,23.0
71.0,11.0,18.0,0.0,42.0
82.0,5.0,13.0,0.0,24.0
77.0,12.0,11.0,0.0,24.0
82.0,5.0,13.0,0.0,21.0
85.0,3.0,12.0,0.0,17.0
79.0,5.0,16.0,0.0,29.0
86.0,5.0,9.0,0.0,15.0
79.0,7.0,14.0,0.0,26.0
76.0,10.0,14.0,0.0,29.0
84.0,4.0,12.0,0.0,18.0
83.0,4.0,13.0,0.0,20.0
81.0,5.0,14.0,0.0,25.0
74.0,13.0,13.0,0.0,29.0
82.0,4.0,14.0,0.0,23.0
83.0,6.0,11.0,0.0,19.0
68.0,16.0,16.0,0.0,39.0
85.0,2.0,13.0,0.0,21.0
76.0,13.0,11.0,0.0,27.0
80.0,10.0,10.0,0.0,20.0
73.0,10.0,17.0,0.0,36.0
77.0,9.0,14.0,0.0,28.0
82.0,8.0,10.0,0.0,20.0
78.0,12.0,10.0,0.0,23.0
80.0,5.0,15.0,0.0,27.0
82.0,7.0,11.0,0.0,19.0
81.0,9.0,10.0,0.0,21.0
77.0,6.0,17.0,0.0,30.0
75.0,5.0,20.0,0.0,37.0
78.0,8.0,14.0,0.0,26.0
86.0,5.0,9.0,0.0,14.0
79.0,6.0,15.0,0.0,27.0
76.0,10.0,14.0,0.0,30.0
80.0,7.0,13.0,0.0,24.0
84.0,5.0,11.0,0.0,18.0
80.0,7.0,13.0,0.0,26.0
77.0,11.0,12.0,0.0,27.0
86.0,5.0,9.0,0.0,14.0
83.0,3.0,14.0,0.0,21.0
79.0,7.0,14.0,0.0,26.0
76.0,13.0,11.0,0.0,25.0
79.0,9.0,12.0,0.0,23.0
77.0,11.0,12.0,0.0,26.0
81.0,9.0,10.0,0.0,20.0
81.0,6.0,13.0,0.0,26.0
83.0,4.0,13.0,0.0,22.0
78.0,9.0,13.0,0.0,26.0
85.0,4.0,11.0,0.0,19.0
78.0,9.0,13.0,0.0,27.0
75.0,11.0,14.0,0.0,29.0
78.0,10.0,12.0,0.0,25.0
79.0,5.0,16.0,0.0,28.0
81.0,6.0,13.0,0.0,24.0
72.0,15.0,13.0,0.0,31.0
83.0,5.0,12.0,0.0,20.0
82.0,4.0,14.0,0.0,22.0
77.0,12.0,11.0,0.0,26.0
68.0,11.0,21.0,0.0,45.0
79.0,8.0,13.0,0.0,27.0
85.0,3.0,12.0,0.0,17.0
87.0,5.0,8.0,0.0,12.0
76.0,4.0,20.0,0.0,35.0
74.0,12.0,14.0,0.0,30.0
80.0,5.0,15.0,0.0,26.0
85.0,6.0,9.0,0.0,14.0
88.0,4.0,8.0,0.0,10.0
89.0,3.0,8.0,0.0,9.0
86.0,6.0,8.0,0.0,12.0
83.0,5.0,12.0,0.0,20.0
81.0,8.0,11.0,0.0,22.0
81.0,11.0,8.0,0.0,17.0
81.0,7.0,12.0,0.0,21.0
83.0,7.0,10.0,0.0,19.0
83.0,6.0,11.0,0.0,18.0
89.0,1.0,10.0,0.0,12.0
79.0,6.0,15.0,0.0,26.0
80.0,8.0,12.0,0.0,22.0
78.0,11.0,11.0,0.0,23.0
87.0,3.0,10.0,0.0,15.0
80.0,6.0,14.0,0.0,24.0
83.0,6.0,11.0,0.0,18.0
81.0,6.0,13.0,0.0,24.0
84.0,4.0,12.0,0.0,20.0
79.0,4.0,17.0,0.0,28.0
74.0,10.0,16.0,0.0,32.0
77.0,9.0,14.0,0.0,30.0
84.0,4.0,12.0,0.0,21.0
70.0,10.0,20.0,0.0,43.0
76.0,10.0,14.0,0.0,28.0
81.0,6.0,13.0,0.0,24.0
82.0,7.0,11.0,0.0,22.0
85.0,6.0,9.0,0.0,14.0
79.0,9.0,12.0,0.0,24.0
79.0,5.0,16.0,0.0,29.0
81.0,5.0,14.0,0.0,24.0
74.0,10.0,16.0,0.0,33.0
