infections,diagnosed,susceptible,steps
37.0,44.0,19.0,8830.0
42.0,46.0,12.0,8918.0
36.0,43.0,21.0,9557.0
40.0,44.0,16.0,8998.0
36.0,50.0,14.0,9077.0
42.0,47.0,11.0,8811.0
39.0,42.0,19.0,8807.0
38.0,46.0,16.0,9342.0
43.0,40.0,17.0,9279.0
23.0,60.0,17.0,8107.0
32.0,51.0,17.0,9106.0
36.0,51.0,13.0,8505.0
45.0,45.0,10.0,9251.0
37.0,48.0,15.0,9231.0
38.0,44.0,18.0,9130.0
35.0,42.0,23.0,9394.0
44.0,31.0,25.0,9571.0
37.0,48.0,15.0,8982.0
34.0,52.0,14.0,8550.0
37.0,47.0,16.0,8526.0
46.0,36.0,18.0,9602.0
38.0,46.0,16.0,8813.0
41.0,48.0,11.0,8624.0
37.0,43.0,20.0,9031.0
44.0,37.0,19.0,9680.0
34.0,47.0,19.0,8926.0
45.0,43.0,12.0,9665.0
42.0,41.0,17.0,9199.0
44.0,42.0,14.0,9348.0
34.0,45.0,21.0,9376.0
38.0,46.0,16.0,9058.0
41.0,50.0,9.0,9343.0
43.0,45.0,12.0,8504.0
42.0,37.0,21.0,9175.0
38.0,40.0,22.0,9216.0
37.0,46.0,17.0,9004.0
33.0,42.0,25.0,8930.0
42.0,38.0,20.0,9327.0
42.0,44.0,14.0,8771.0
39.0,47.0,14.0,9262.0
47.0,30.0,23.0,9300.0
38.0,40.0,22.0,9811.0
41.0,38.0,21.0,9322.0
45.0,38.0,17.0,9545.0
36.0,49.0,15.0,8894.0
40.0,44.0,16.0,9014.0
38.0,40.0,22.0,9436.0
33.0,53.0,14.0,9079.0
35.0,51.0,14.0,8914.0
38.0,40.0,22.0,8948.0
35.0,48.0,17.0,9169.0
33.0,44.0,23.0,9073.0
34.0,44.0,22.0,8564.0
34.0,55.0,11.0,8795.0
38.0,32.0,30.0,9809.0
35.0,49.0,16.0,8758.0
43.0,40.0,17.0,9141.0
39.0,44.0,17.0,9044.0
34.0,49.0,17.0,8862.0
31.0,52.0,17.0,9046.0
41.0,37.0,22.0,9729.0
38.0,50.0,12.0,9450.0
33.0,50.0,17.0,8832.0
38.0,54.0,8.0,8904.0
36.0,48.0,16.0,8876.0
41.0,42.0,17.0,8945.0
39.0,45.0,16.0,9438.0
45.0,32.0,23.0,9433.0
44.0,44.0,12.0,9189.0
39.0,50.0,11.0,9075.0
43.0,41.0,16.0,9173.0
29.0,56.0,15.0,8530.0
40.0,40.0,20.0,9715.0
30.0,49.0,21.0,8423.0
37.0,45.0,18.0,8747.0
39.0,46.0,15.0,9045.0
44.0,44.0,12.0,9565.0
40.0,44.0,16.0,9308.0
34.0,48.0,18.0,9101.0
37.0,49.0,14.0,8960.0
49.0,35.0,16.0,9646.0
38.0,42.0,20.0,9564.0
33.0,47.0,20.0,8412.0
38.0,42.0,20.0,9261.0
35.0,43.0,22.0,8699.0
39.0,52.0,9.0,9190.0
36.0,46.0,18.0,9138.0
37.0,46.0,17.0,9372.0
39.0,42.0,19.0,9418.0
36.0,45.0,19.0,9039.0
30.0,42.0,28.0,9105.0
41.0,42.0,17.0,9226.0
37.0,46.0,17.0,8863.0
31.0,50.0,19.0,9426.0
44.0,35.0,21.0,9414.0
40.0,48.0,12.0,9326.0
40.0,44.0,16.0,9000.0
41.0,43.0,16.0,9715.0
40.0,48.0,12.0,9013.0
33.0,61.0,6.0,8998.0
38.0,45.0,17.0,8868.0
38.0,45.0,17.0,9002.0
38.0,38.0,24.0,9517.0
41.0,43.0,16.0,9029.0
34.0,45.0,21.0,9088.0
38.0,39.0,23.0,8949.0
38.0,44.0,18.0,9164.0
38.0,49.0,13.0,9257.0
48.0,33.0,19.0,9788.0
38.0,43.0,19.0,9405.0
40.0,46.0,14.0,8956.0
35.0,45.0,20.0,9011.0
42.0,36.0,22.0,9398.0
39.0,42.0,19.0,8882.0
31.0,52.0,17.0,8880.0
45.0,36.0,19.0,9437.0
38.0,48.0,14.0,8951.0
33.0,58.0,9.0,8244.0
41.0,39.0,20.0,9491.0
40.0,47.0,13.0,8958.0
39.0,44.0,17.0,9264.0
35.0,43.0,22.0,9328.0
31.0,57.0,12.0,8621.0
40.0,49.0,11.0,8917.0
35.0,51.0,14.0,8707.0
36.0,49.0,15.0,8707.0
49.0,32.0,19.0,9765.0
37.0,46.0,17.0,9240.0
38.0,44.0,18.0,9069.0
48.0,37.0,15.0,9540.0
23.0,50.0,27.0,8569.0
