infections,diagnosed,susceptible,steps
2.0,8.0,90.0,4155.0
4.0,14.0,82.0,4035.0
3.0,10.0,87.0,4212.0
5.0,9.0,86.0,4258.0
13.0,8.0,79.0,4340.0
9.0,11.0,80.0,4246.0
3.0,13.0,84.0,4194.0
5.0,11.0,84.0,4320.0
3.0,8.0,89.0,4108.0
3.0,8.0,89.0,4261.0
5.0,10.0,85.0,4055.0
6.0,8.0,86.0,4249.0
6.0,8.0,86.0,4191.0
2.0,10.0,88.0,4245.0
3.0,12.0,85.0,3965.0
9.0,14.0,77.0,3846.0
1.0,14.0,85.0,4208.0
5.0,9.0,86.0,4195.0
3.0,10.0,87.0,4067.0
7.0,12.0,81.0,3962.0
4.0,16.0,80.0,3950.0
3.0,10.0,87.0,4164.0
4.0,10.0,86.0,4001.0
8.0,10.0,82.0,4162.0
7.0,6.0,87.0,4215.0
7.0,10.0,83.0,4187.0
5.0,12.0,83.0,4252.0
4.0,9.0,87.0,3960.0
0.0,15.0,85.0,4053.0
2.0,10.0,88.0,4286.0
2.0,11.0,87.0,4242.0
5.0,9.0,86.0,4318.0
6.0,12.0,82.0,3941.0
3.0,11.0,86.0,3942.0
3.0,10.0,87.0,4228.0
1.0,11.0,88.0,4102.0
6.0,7.0,87.0,4198.0
3.0,9.0,88.0,3926.0
5.0,10.0,85.0,4089.0
4.0,8.0,88.0,4007.0
6.0,9.0,85.0,4099.0
9.0,8.0,83.0,4298.0
6.0,12.0,82.0,4017.0
4.0,10.0,86.0,4125.0
3.0,9.0,88.0,4053.0
7.0,10.0,83.0,4411.0
4.0,10.0,86.0,4375.0
9.0,12.0,79.0,4178.0
5.0,12.0,83.0,4242.0
2.0,13.0,85.0,4110.0
4.0,14.0,82.0,4354.0
0.0,11.0,89.0,4129.0
5.0,11.0,84.0,4162.0
7.0,11.0,82.0,4082.0
6.0,7.0,87.0,4146.0
4.0,9.0,87.0,4227.0
2.0,11.0,87.0,4004.0
6.0,11.0,83.0,4164.0
5.0,9.0,86.0,4160.0
8.0,7.0,85.0,4231.0
8.0,10.0,82.0,4264.0
7.0,6.0,87.0,4217.0
3.0,9.0,88.0,4016.0
5.0,10.0,85.0,4061.0
4.0,10.0,86.0,4188.0
2.0,11.0,87.0,4140.0
5.0,9.0,86.0,3975.0
2.0,9.0,89.0,4147.0
2.0,10.0,88.0,4266.0
4.0,9.0,87.0,4322.0
2.0,10.0,88.0,4092.0
5.0,10.0,85.0,4136.0
2.0,10.0,88.0,4031.0
6.0,9.0,85.0,4067.0
4.0,10.0,86.0,4138.0
1.0,11.0,88.0,4146.0
4.0,9.0,87.0,4187.0
8.0,7.0,85.0,4218.0
5.0,10.0,85.0,4175.0
2.0,10.0,88.0,4214.0
6.0,15.0,79.0,4240.0
6.0,10.0,84.0,4199.0
5.0,8.0,87.0,4454.0
2.0,10.0,88.0,4272.0
7.0,10.0,83.0,4218.0
4.0,11.0,85.0,4031.0
6.0,13.0,81.0,4119.0
8.0,8.0,84.0,4377.0
8.0,8.0,84.0,4072.0
6.0,8.0,86.0,4212.0
2.0,10.0,88.0,4079.0
2.0,9.0,89.0,4107.0
3.0,10.0,87.0,4197.0
6.0,6.0,88.0,4313.0
8.0,5.0,87.0,4388.0
3.0,11.0,86.0,4145.0
2.0,11.0,87.0,4069.0
7.0,10.0,83.0,4276.0
3.0,12.0,85.0,4052.0
3.0,9.0,88.0,4238.0
2.0,14.0,84.0,4147.0
8.0,11.0,81.0,4046.0
3.0,12.0,85.0,4238.0
7.0,7.0,86.0,4330.0
4.0,9.0,87.0,4000.0
3.0,13.0,84.0,4226.0
4.0,11.0,85.0,4282.0
