S,I,D,R,steps
0.0,21.0,79.0,0.0,3230.0
0.0,19.0,81.0,0.0,3276.0
0.0,25.0,75.0,0.0,3671.0
0.0,20.0,80.0,0.0,3115.0
0.0,22.0,78.0,0.0,3329.0
0.0,20.0,80.0,0.0,3658.0
0.0,19.0,81.0,0.0,3296.0
0.0,27.0,73.0,0.0,3221.0
0.0,25.0,75.0,0.0,3274.0
0.0,17.0,83.0,0.0,4144.0
0.0,29.0,71.0,0.0,4064.0
0.0,24.0,76.0,0.0,2692.0
0.0,21.0,79.0,0.0,3646.0
0.0,16.0,84.0,0.0,3119.0
0.0,24.0,76.0,0.0,3525.0
0.0,22.0,78.0,0.0,3184.0
0.0,21.0,79.0,0.0,3059.0
0.0,27.0,73.0,0.0,3598.0
0.0,23.0,77.0,0.0,3557.0
0.0,23.0,77.0,0.0,3064.0
0.0,21.0,79.0,0.0,3001.0
0.0,18.0,82.0,0.0,2710.0
0.0,24.0,76.0,0.0,4273.0
0.0,20.0,80.0,0.0,3168.0
0.0,24.0,76.0,0.0,3504.0
0.0,24.0,76.0,0.0,3478.0
0.0,27.0,73.0,0.0,3364.0
0.0,22.0,78.0,0.0,3582.0
0.0,24.0,76.0,0.0,3293.0
0.0,24.0,76.0,0.0,3874.0
0.0,25.0,75.0,0.0,2758.0
0.0,28.0,72.0,0.0,3080.0
0.0,17.0,83.0,0.0,3693.0
0.0,17.0,83.0,0.0,3673.0
0.0,22.0,78.0,0.0,3543.0
0.0,24.0,76.0,0.0,3596.0
0.0,22.0,78.0,0.0,3168.0
0.0,22.0,78.0,0.0,2791.0
0.0,20.0,80.0,0.0,3975.0
0.0,26.0,74.0,0.0,2831.0
0.0,25.0,75.0,0.0,3504.0
0.0,24.0,76.0,0.0,3252.0
0.0,22.0,78.0,0.0,3152.0
0.0,21.0,79.0,0.0,2699.0
0.0,22.0,78.0,0.0,2614.0
0.0,26.0,74.0,0.0,3036.0
0.0,29.0,71.0,0.0,4176.0
0.0,21.0,79.0,0.0,3078.0
0.0,22.0,78.0,0.0,3670.0
0.0,20.0,80.0,0.0,3718.0
0.0,29.0,71.0,0.0,3516.0
0.0,28.0,72.0,0.0,3729.0
0.0,19.0,81.0,0.0,3307.0
0.0,22.0,78.0,0.0,3378.0
0.0,20.0,80.0,0.0,2957.0
0.0,25.0,75.0,0.0,2876.0
0.0,27.0,73.0,0.0,2993.0
0.0,30.0,70.0,0.0,3766.0
0.0,24.0,76.0,0.0,3741.0
0.0,34.0,66.0,0.0,3244.0
0.0,27.0,73.0,0.0,3008.0
0.0,26.0,74.0,0.0,3017.0
0.0,28.0,72.0,0.0,2955.0
0.0,17.0,83.0,0.0,3477.0
0.0,26.0,74.0,0.0,2981.0
0.0,25.0,75.0,0.0,3040.0
0.0,19.0,81.0,0.0,3579.0
0.0,22.0,78.0,0.0,3485.0
0.0,17.0,83.0,0.0,3044.0
0.0,22.0,78.0,0.0,2993.0
0.0,28.0,72.0,0.0,2889.0
0.0,24.0,76.0,0.0,3697.0
0.0,20.0,80.0,0.0,3246.0
0.0,18.0,82.0,0.0,3536.0
0.0,24.0,76.0,0.0,2956.0
0.0,22.0,78.0,0.0,3286.0
0.0,28.0,72.0,0.0,3518.0
0.0,22.0,78.0,0.0,3487.0
0.0,21.0,79.0,0.0,3358.0
0.0,27.0,73.0,0.0,3074.0
0.0,26.0,74.0,0.0,3172.0
0.0,24.0,76.0,0.0,3754.0
0.0,20.0,80.0,0.0,3416.0
0.0,19.0,81.0,0.0,2950.0
0.0,23.0,77.0,0.0,4154.0
0.0,23.0,77.0,0.0,3869.0
0.0,26.0,74.0,0.0,2859.0
0.0,20.0,80.0,0.0,2861.0
0.0,26.0,74.0,0.0,3194.0
0.0,18.0,82.0,0.0,3288.0
0.0,21.0,79.0,0.0,3860.0
0.0,21.0,79.0,0.0,3406.0
0.0,22.0,78.0,0.0,3607.0
0.0,20.0,80.0,0.0,3733.0
0.0,21.0,79.0,0.0,3917.0
0.0,24.0,76.0,0.0,3126.0
