inf_prop,diag_prop,i0,beta_measure,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total_immunized
0.55,0.5,5.0,1.0,0.0,0.0,1.0,6.0,33.0,77.0,152.0,235.0,315.0,392.0,448.0,500.0,543.0,578.0,601.0,618.0,632.0,649.0,662.0,678.0,691.0,699.0,709.0,713.0,714.0,717.0,717.0
0.55,0.5,5.0,1.0,0.0,2.0,6.0,20.0,44.0,92.0,153.0,222.0,283.0,348.0,396.0,442.0,478.0,524.0,560.0,587.0,604.0,619.0,627.0,639.0,657.0,669.0,672.0,680.0,685.0,693.0,693.0
0.55,0.5,5.0,1.0,0.0,4.0,12.0,62.0,116.0,194.0,274.0,356.0,415.0,467.0,516.0,556.0,587.0,615.0,645.0,661.0,682.0,696.0,703.0,714.0,719.0,725.0,731.0,731.0,736.0,738.0,738.0
0.55,0.5,5.0,1.0,0.0,4.0,16.0,72.0,129.0,211.0,280.0,338.0,404.0,451.0,506.0,543.0,573.0,595.0,625.0,643.0,658.0,674.0,680.0,689.0,696.0,701.0,703.0,710.0,713.0,714.0,714.0
0.55,0.5,5.0,1.0,0.0,2.0,12.0,41.0,107.0,156.0,232.0,283.0,341.0,398.0,456.0,506.0,546.0,572.0,592.0,611.0,623.0,639.0,656.0,672.0,681.0,687.0,687.0,690.0,693.0,696.0,696.0
0.55,0.5,5.0,1.0,0.0,2.0,18.0,72.0,140.0,211.0,284.0,349.0,401.0,456.0,495.0,536.0,574.0,604.0,622.0,635.0,649.0,663.0,671.0,684.0,689.0,696.0,699.0,703.0,707.0,711.0,711.0
0.55,0.5,5.0,1.0,0.0,3.0,16.0,89.0,168.0,244.0,324.0,379.0,436.0,490.0,528.0,556.0,576.0,607.0,622.0,646.0,652.0,666.0,673.0,679.0,684.0,687.0,688.0,690.0,691.0,694.0,694.0
0.55,0.5,5.0,1.0,0.0,1.0,2.0,11.0,58.0,122.0,212.0,290.0,357.0,410.0,461.0,521.0,555.0,587.0,609.0,632.0,642.0,648.0,655.0,663.0,666.0,677.0,681.0,684.0,685.0,691.0,691.0
0.55,0.5,5.0,1.0,0.0,1.0,8.0,40.0,112.0,186.0,260.0,327.0,383.0,427.0,476.0,519.0,548.0,579.0,609.0,622.0,632.0,647.0,659.0,668.0,677.0,680.0,681.0,684.0,687.0,690.0,690.0
0.55,0.5,5.0,1.0,0.0,0.0,0.0,13.0,50.0,119.0,191.0,267.0,327.0,375.0,421.0,469.0,508.0,532.0,570.0,590.0,609.0,624.0,638.0,649.0,656.0,666.0,675.0,680.0,685.0,690.0,690.0
0.55,0.5,5.0,1.0,0.0,1.0,5.0,24.0,76.0,151.0,226.0,319.0,388.0,437.0,497.0,529.0,564.0,595.0,623.0,645.0,662.0,681.0,688.0,697.0,704.0,709.0,713.0,718.0,723.0,724.0,724.0
0.55,0.5,5.0,1.0,0.0,1.0,5.0,41.0,91.0,169.0,251.0,329.0,391.0,428.0,476.0,524.0,558.0,584.0,618.0,638.0,656.0,666.0,676.0,685.0,693.0,699.0,705.0,707.0,709.0,711.0,711.0
0.55,0.5,5.0,1.0,0.0,3.0,16.0,46.0,91.0,162.0,231.0,303.0,372.0,418.0,464.0,493.0,532.0,557.0,581.0,597.0,608.0,618.0,626.0,639.0,644.0,650.0,655.0,662.0,667.0,672.0,672.0
0.55,0.5,5.0,1.0,0.0,2.0,14.0,48.0,93.0,175.0,241.0,306.0,362.0,419.0,469.0,510.0,539.0,565.0,588.0,602.0,615.0,631.0,639.0,651.0,662.0,666.0,669.0,674.0,677.0,678.0,678.0
0.55,0.5,5.0,1.0,0.0,3.0,25.0,62.0,122.0,196.0,272.0,345.0,393.0,442.0,473.0,513.0,550.0,582.0,602.0,621.0,633.0,642.0,661.0,671.0,677.0,687.0,691.0,694.0,695.0,699.0,699.0
0.55,0.5,5.0,1.0,0.0,1.0,13.0,41.0,111.0,191.0,269.0,329.0,386.0,430.0,479.0,526.0,558.0,587.0,613.0,627.0,639.0,650.0,658.0,671.0,680.0,686.0,688.0,692.0,696.0,700.0,700.0
0.55,0.5,5.0,1.0,0.0,1.0,18.0,45.0,109.0,181.0,254.0,317.0,389.0,444.0,492.0,540.0,569.0,594.0,610.0,623.0,643.0,655.0,668.0,680.0,684.0,690.0,695.0,696.0,700.0,703.0,703.0
0.55,0.5,5.0,1.0,0.0,2.0,20.0,62.0,128.0,198.0,266.0,337.0,401.0,452.0,489.0,542.0,572.0,594.0,616.0,635.0,648.0,666.0,679.0,687.0,696.0,699.0,706.0,711.0,716.0,719.0,719.0
0.55,0.5,5.0,1.0,0.0,1.0,9.0,29.0,60.0,124.0,185.0,256.0,347.0,409.0,454.0,497.0,535.0,569.0,594.0,611.0,630.0,644.0,653.0,664.0,669.0,675.0,687.0,689.0,693.0,693.0,693.0
0.55,0.5,5.0,1.0,0.0,0.0,10.0,55.0,107.0,173.0,263.0,329.0,387.0,444.0,498.0,542.0,574.0,605.0,624.0,650.0,668.0,679.0,690.0,699.0,707.0,713.0,720.0,724.0,728.0,730.0,730.0
0.55,0.5,5.0,1.0,0.0,3.0,11.0,42.0,110.0,179.0,254.0,313.0,375.0,435.0,484.0,526.0,558.0,586.0,608.0,621.0,636.0,657.0,666.0,675.0,684.0,690.0,695.0,696.0,697.0,699.0,699.0
0.55,0.5,5.0,1.0,0.0,2.0,25.0,73.0,153.0,250.0,314.0,373.0,425.0,471.0,506.0,543.0,582.0,607.0,630.0,652.0,669.0,683.0,699.0,710.0,721.0,727.0,730.0,733.0,736.0,739.0,739.0
0.55,0.5,5.0,1.0,0.0,1.0,25.0,72.0,144.0,227.0,294.0,353.0,420.0,467.0,510.0,552.0,582.0,603.0,624.0,639.0,661.0,672.0,681.0,691.0,701.0,707.0,711.0,715.0,718.0,722.0,722.0
0.55,0.5,5.0,1.0,0.0,1.0,5.0,30.0,79.0,152.0,230.0,294.0,364.0,419.0,473.0,513.0,551.0,581.0,599.0,622.0,634.0,649.0,661.0,672.0,678.0,686.0,692.0,697.0,704.0,706.0,706.0
0.55,0.5,5.0,1.0,0.0,2.0,4.0,19.0,52.0,115.0,184.0,272.0,332.0,391.0,437.0,489.0,529.0,570.0,600.0,622.0,635.0,655.0,666.0,678.0,692.0,700.0,710.0,712.0,715.0,716.0,716.0
0.55,0.5,5.0,1.0,0.0,2.0,23.0,69.0,133.0,206.0,282.0,344.0,383.0,433.0,484.0,528.0,564.0,597.0,626.0,645.0,660.0,668.0,677.0,682.0,696.0,701.0,702.0,705.0,706.0,710.0,710.0
0.55,0.5,5.0,1.0,0.0,2.0,3.0,6.0,18.0,40.0,89.0,145.0,229.0,296.0,372.0,421.0,457.0,502.0,537.0,559.0,576.0,599.0,616.0,637.0,646.0,656.0,666.0,671.0,679.0,682.0,682.0
0.55,0.5,5.0,1.0,0.0,3.0,11.0,29.0,69.0,126.0,205.0,270.0,332.0,373.0,416.0,461.0,505.0,534.0,560.0,585.0,616.0,629.0,643.0,655.0,667.0,675.0,680.0,689.0,694.0,700.0,700.0
0.55,0.5,5.0,1.0,0.0,2.0,7.0,46.0,96.0,168.0,249.0,327.0,395.0,449.0,483.0,533.0,563.0,591.0,608.0,629.0,642.0,658.0,665.0,672.0,680.0,683.0,689.0,692.0,696.0,697.0,697.0
0.55,0.5,5.0,1.0,0.0,3.0,15.0,49.0,93.0,170.0,243.0,307.0,359.0,417.0,463.0,497.0,533.0,555.0,581.0,597.0,613.0,627.0,642.0,648.0,660.0,671.0,675.0,678.0,685.0,690.0,690.0
0.55,0.5,5.0,1.0,0.0,3.0,11.0,31.0,76.0,158.0,228.0,309.0,382.0,447.0,508.0,549.0,577.0,604.0,627.0,649.0,665.0,676.0,690.0,702.0,711.0,720.0,725.0,728.0,734.0,735.0,735.0
0.55,0.5,5.0,1.0,0.0,7.0,38.0,99.0,182.0,248.0,307.0,371.0,428.0,477.0,507.0,540.0,573.0,601.0,630.0,645.0,662.0,676.0,686.0,693.0,697.0,703.0,708.0,711.0,715.0,721.0,721.0
0.55,0.5,5.0,1.0,0.0,1.0,2.0,24.0,82.0,152.0,236.0,302.0,360.0,412.0,459.0,498.0,530.0,552.0,577.0,605.0,622.0,640.0,651.0,663.0,674.0,676.0,685.0,688.0,689.0,692.0,692.0
0.55,0.5,5.0,1.0,0.0,2.0,4.0,16.0,35.0,91.0,159.0,241.0,314.0,390.0,447.0,483.0,520.0,551.0,582.0,609.0,630.0,638.0,655.0,668.0,679.0,689.0,692.0,698.0,704.0,708.0,708.0
0.55,0.5,5.0,1.0,0.0,1.0,1.0,3.0,8.0,58.0,134.0,212.0,272.0,331.0,379.0,431.0,470.0,508.0,529.0,554.0,566.0,581.0,595.0,612.0,626.0,637.0,641.0,648.0,654.0,655.0,655.0
0.55,0.5,5.0,1.0,0.0,1.0,10.0,45.0,118.0,192.0,271.0,324.0,406.0,449.0,496.0,535.0,562.0,585.0,595.0,613.0,637.0,651.0,662.0,667.0,668.0,671.0,674.0,681.0,684.0,687.0,687.0
0.55,0.5,5.0,1.0,0.0,0.0,7.0,39.0,101.0,179.0,248.0,323.0,387.0,443.0,497.0,540.0,563.0,590.0,613.0,631.0,637.0,652.0,672.0,683.0,688.0,694.0,697.0,700.0,702.0,705.0,705.0
0.55,0.5,5.0,1.0,0.0,5.0,38.0,87.0,160.0,245.0,321.0,379.0,434.0,482.0,524.0,563.0,598.0,626.0,649.0,664.0,681.0,691.0,697.0,705.0,714.0,718.0,722.0,726.0,728.0,733.0,733.0
0.55,0.5,5.0,1.0,0.0,2.0,11.0,38.0,83.0,139.0,220.0,299.0,362.0,403.0,452.0,492.0,533.0,564.0,588.0,608.0,626.0,639.0,658.0,663.0,668.0,674.0,680.0,689.0,693.0,698.0,698.0
0.55,0.5,5.0,1.0,0.0,5.0,27.0,82.0,150.0,222.0,273.0,340.0,403.0,451.0,501.0,540.0,566.0,588.0,611.0,625.0,637.0,651.0,658.0,665.0,672.0,676.0,681.0,684.0,685.0,689.0,689.0
0.55,0.5,5.0,1.0,0.0,3.0,8.0,39.0,96.0,161.0,248.0,306.0,364.0,427.0,474.0,526.0,553.0,585.0,612.0,633.0,659.0,673.0,688.0,700.0,706.0,719.0,720.0,727.0,728.0,730.0,730.0
0.55,0.5,5.0,1.0,0.0,2.0,5.0,29.0,88.0,140.0,217.0,296.0,361.0,415.0,474.0,518.0,551.0,574.0,585.0,608.0,627.0,637.0,648.0,661.0,669.0,674.0,682.0,683.0,689.0,697.0,697.0
0.55,0.5,5.0,1.0,0.0,3.0,12.0,47.0,96.0,157.0,221.0,278.0,335.0,392.0,431.0,469.0,504.0,533.0,558.0,581.0,590.0,610.0,620.0,633.0,638.0,646.0,651.0,658.0,661.0,663.0,663.0
