inf_prop,diag_prop,i0,beta_measure,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total_immunized
0.55,0.5,5.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,4.0,4.0,16.0,25.0,40.0,52.0,58.0,55.0,41.0,20.0,20.0,23.0,13.0,8.0,7.0,4.0,4.0,4.0,4.0,0.0,820.0
0.55,0.5,5.0,1.0,0.0,2.0,8.0,5.0,7.0,15.0,20.0,30.0,49.0,48.0,45.0,39.0,48.0,34.0,25.0,14.0,8.0,13.0,5.0,8.0,5.0,8.0,5.0,2.0,3.0,1.0,791.0
0.55,0.5,5.0,1.0,0.0,0.0,5.0,15.0,30.0,48.0,63.0,43.0,45.0,55.0,45.0,21.0,26.0,13.0,10.0,5.0,6.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,826.0
0.55,0.5,5.0,1.0,0.0,3.0,4.0,6.0,24.0,33.0,41.0,61.0,56.0,53.0,32.0,26.0,22.0,17.0,16.0,10.0,6.0,7.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,836.0
0.55,0.5,5.0,1.0,0.0,3.0,4.0,8.0,24.0,49.0,49.0,59.0,63.0,32.0,23.0,23.0,18.0,17.0,8.0,7.0,5.0,3.0,5.0,1.0,0.0,3.0,4.0,2.0,0.0,0.0,826.0
0.55,0.5,5.0,1.0,0.0,0.0,2.0,1.0,9.0,10.0,9.0,17.0,25.0,40.0,50.0,46.0,39.0,44.0,32.0,26.0,19.0,14.0,5.0,10.0,8.0,1.0,2.0,1.0,0.0,0.0,766.0
0.55,0.5,5.0,1.0,0.0,3.0,4.0,2.0,1.0,0.0,0.0,13.0,22.0,22.0,38.0,40.0,44.0,51.0,34.0,24.0,23.0,19.0,17.0,9.0,7.0,11.0,5.0,12.0,1.0,2.0,764.0
0.55,0.5,5.0,1.0,0.0,0.0,7.0,9.0,26.0,36.0,44.0,56.0,56.0,50.0,35.0,33.0,19.0,13.0,16.0,8.0,6.0,4.0,4.0,4.0,4.0,0.0,2.0,2.0,2.0,1.0,791.0
0.55,0.5,5.0,1.0,0.0,1.0,1.0,10.0,15.0,15.0,37.0,55.0,47.0,52.0,50.0,48.0,34.0,17.0,12.0,7.0,9.0,6.0,9.0,7.0,3.0,2.0,2.0,1.0,0.0,1.0,837.0
0.55,0.5,5.0,1.0,0.0,7.0,1.0,11.0,19.0,27.0,35.0,36.0,48.0,47.0,32.0,35.0,29.0,23.0,14.0,12.0,15.0,12.0,5.0,5.0,5.0,1.0,3.0,1.0,1.0,1.0,832.0
0.55,0.5,5.0,1.0,0.0,1.0,3.0,7.0,18.0,25.0,34.0,56.0,42.0,61.0,37.0,25.0,27.0,22.0,18.0,16.0,8.0,9.0,10.0,3.0,1.0,7.0,1.0,0.0,0.0,0.0,772.0
0.55,0.5,5.0,1.0,0.0,2.0,1.0,5.0,7.0,21.0,35.0,38.0,51.0,39.0,26.0,36.0,33.0,24.0,26.0,12.0,14.0,10.0,5.0,7.0,4.0,2.0,6.0,1.0,3.0,0.0,776.0
0.55,0.5,5.0,1.0,0.0,1.0,2.0,4.0,8.0,17.0,29.0,38.0,42.0,53.0,63.0,19.0,27.0,24.0,16.0,18.0,17.0,9.0,5.0,5.0,7.0,3.0,0.0,1.0,1.0,2.0,810.0
0.55,0.5,5.0,1.0,0.0,1.0,4.0,4.0,9.0,9.0,19.0,25.0,42.0,41.0,52.0,53.0,34.0,35.0,17.0,16.0,10.0,10.0,8.0,8.0,1.0,4.0,2.0,4.0,0.0,1.0,767.0
0.55,0.5,5.0,1.0,0.0,0.0,2.0,1.0,5.0,6.0,14.0,26.0,35.0,51.0,48.0,42.0,38.0,37.0,29.0,22.0,12.0,10.0,7.0,5.0,3.0,2.0,5.0,3.0,0.0,5.0,809.0
0.55,0.5,5.0,1.0,0.0,1.0,0.0,2.0,4.0,14.0,29.0,46.0,41.0,58.0,42.0,51.0,26.0,21.0,17.0,16.0,12.0,10.0,4.0,9.0,4.0,3.0,1.0,2.0,1.0,1.0,801.0
0.55,0.5,5.0,1.0,0.0,0.0,1.0,8.0,6.0,5.0,4.0,5.0,22.0,34.0,40.0,39.0,37.0,38.0,41.0,33.0,23.0,19.0,16.0,13.0,7.0,5.0,2.0,1.0,1.0,0.0,744.0
0.55,0.5,5.0,1.0,0.0,0.0,0.0,3.0,32.0,29.0,47.0,46.0,42.0,48.0,50.0,31.0,16.0,17.0,12.0,9.0,11.0,5.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,797.0
0.55,0.5,5.0,1.0,0.0,1.0,0.0,7.0,5.0,2.0,5.0,9.0,16.0,24.0,38.0,39.0,53.0,51.0,34.0,44.0,35.0,20.0,13.0,16.0,9.0,4.0,0.0,2.0,2.0,0.0,783.0
0.55,0.5,5.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
0.55,0.5,5.0,1.0,0.0,1.0,3.0,3.0,13.0,17.0,32.0,48.0,39.0,64.0,42.0,27.0,30.0,18.0,14.0,7.0,5.0,6.0,4.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,814.0
0.55,0.5,5.0,1.0,0.0,1.0,1.0,4.0,10.0,10.0,21.0,49.0,63.0,59.0,41.0,42.0,28.0,26.0,18.0,12.0,16.0,9.0,7.0,4.0,9.0,1.0,4.0,0.0,2.0,3.0,799.0
0.55,0.5,5.0,1.0,0.0,1.0,2.0,4.0,9.0,25.0,35.0,53.0,59.0,49.0,30.0,36.0,19.0,18.0,15.0,11.0,9.0,10.0,7.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,827.0
0.55,0.5,5.0,1.0,0.0,0.0,3.0,13.0,29.0,42.0,57.0,46.0,53.0,45.0,50.0,36.0,24.0,20.0,12.0,7.0,11.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,841.0
0.55,0.5,5.0,1.0,0.0,2.0,0.0,5.0,1.0,9.0,15.0,28.0,46.0,36.0,38.0,40.0,33.0,39.0,33.0,19.0,17.0,7.0,11.0,8.0,6.0,5.0,4.0,1.0,3.0,2.0,796.0
0.55,0.5,5.0,1.0,0.0,1.0,3.0,11.0,46.0,45.0,41.0,60.0,41.0,45.0,33.0,31.0,12.0,12.0,12.0,4.0,7.0,7.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,813.0
0.55,0.5,5.0,1.0,0.0,3.0,4.0,9.0,24.0,27.0,46.0,51.0,47.0,39.0,38.0,28.0,26.0,20.0,10.0,11.0,10.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,812.0
0.55,0.5,5.0,1.0,0.0,1.0,1.0,2.0,11.0,20.0,23.0,35.0,57.0,52.0,44.0,35.0,40.0,23.0,17.0,13.0,14.0,5.0,8.0,6.0,7.0,2.0,1.0,2.0,3.0,0.0,809.0
0.55,0.5,5.0,1.0,0.0,2.0,0.0,1.0,6.0,13.0,27.0,44.0,56.0,44.0,41.0,29.0,35.0,20.0,19.0,14.0,12.0,7.0,9.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,772.0
