inf_prop,diag_prop,i0,beta_measure,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total_immunized
0.55,0.5,5.0,1.0,0.0,2.0,30.0,49.0,39.0,38.0,21.0,21.0,14.0,8.0,8.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0
0.55,0.5,5.0,1.0,0.0,18.0,31.0,51.0,32.0,20.0,24.0,12.0,10.0,6.0,6.0,7.0,8.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0
0.55,0.5,5.0,1.0,0.0,17.0,29.0,26.0,26.0,13.0,17.0,12.0,7.0,8.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,318.0
0.55,0.5,5.0,1.0,0.0,26.0,40.0,36.0,36.0,40.0,22.0,11.0,11.0,7.0,4.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0
0.55,0.5,5.0,1.0,0.0,28.0,39.0,38.0,40.0,24.0,16.0,13.0,12.0,10.0,10.0,10.0,4.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,506.0
0.55,0.5,5.0,1.0,0.0,20.0,22.0,35.0,21.0,25.0,12.0,9.0,3.0,5.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0
0.55,0.5,5.0,1.0,0.0,19.0,31.0,29.0,23.0,28.0,12.0,14.0,6.0,6.0,4.0,6.0,2.0,4.0,4.0,3.0,3.0,6.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,379.0
0.55,0.5,5.0,1.0,0.0,27.0,35.0,36.0,16.0,25.0,19.0,5.0,5.0,2.0,0.0,4.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0
0.55,0.5,5.0,1.0,0.0,11.0,24.0,25.0,21.0,13.0,14.0,15.0,10.0,5.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,299.0
0.55,0.5,5.0,1.0,0.0,14.0,44.0,32.0,24.0,17.0,19.0,10.0,7.0,4.0,6.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,344.0
0.55,0.5,5.0,1.0,0.0,20.0,30.0,34.0,21.0,11.0,8.0,8.0,5.0,2.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0
0.55,0.5,5.0,1.0,0.0,13.0,37.0,40.0,32.0,19.0,10.0,8.0,11.0,8.0,1.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0
0.55,0.5,5.0,1.0,0.0,5.0,30.0,37.0,28.0,25.0,15.0,15.0,9.0,7.0,5.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0
0.55,0.5,5.0,1.0,0.0,20.0,46.0,37.0,32.0,31.0,18.0,14.0,8.0,11.0,5.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0
0.55,0.5,5.0,1.0,0.0,22.0,22.0,39.0,26.0,21.0,28.0,9.0,8.0,8.0,5.0,6.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0
0.55,0.5,5.0,1.0,0.0,7.0,27.0,36.0,24.0,22.0,8.0,9.0,15.0,11.0,8.0,9.0,4.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0
0.55,0.5,5.0,1.0,0.0,27.0,33.0,30.0,31.0,30.0,12.0,5.0,11.0,4.0,6.0,5.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0
0.55,0.5,5.0,1.0,0.0,14.0,26.0,28.0,27.0,10.0,12.0,14.0,6.0,3.0,5.0,3.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0
0.55,0.5,5.0,1.0,0.0,15.0,28.0,36.0,24.0,17.0,16.0,9.0,4.0,8.0,9.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0
0.55,0.5,5.0,1.0,0.0,14.0,29.0,33.0,28.0,18.0,5.0,11.0,9.0,4.0,4.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0
0.55,0.5,5.0,1.0,0.0,17.0,53.0,47.0,28.0,25.0,12.0,14.0,4.0,3.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,401.0
0.55,0.5,5.0,1.0,0.0,24.0,39.0,26.0,25.0,15.0,7.0,5.0,3.0,6.0,4.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0
0.55,0.5,5.0,1.0,0.0,14.0,49.0,34.0,26.0,26.0,9.0,14.0,11.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,383.0
0.55,0.5,5.0,1.0,0.0,14.0,43.0,29.0,28.0,24.0,14.0,10.0,9.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0
0.55,0.5,5.0,1.0,0.0,17.0,44.0,31.0,25.0,19.0,13.0,12.0,11.0,4.0,1.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,372.0
0.55,0.5,5.0,1.0,0.0,23.0,31.0,26.0,17.0,18.0,12.0,8.0,7.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0
0.55,0.5,5.0,1.0,0.0,22.0,46.0,38.0,35.0,26.0,17.0,11.0,7.0,3.0,3.0,8.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0
0.55,0.5,5.0,1.0,0.0,7.0,40.0,21.0,18.0,22.0,11.0,11.0,8.0,9.0,6.0,5.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0
0.55,0.5,5.0,1.0,0.0,23.0,44.0,46.0,25.0,23.0,32.0,21.0,10.0,6.0,3.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0
0.55,0.5,5.0,1.0,0.0,14.0,40.0,35.0,34.0,21.0,24.0,10.0,6.0,6.0,5.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,445.0
0.55,0.5,5.0,1.0,0.0,18.0,52.0,34.0,22.0,19.0,7.0,6.0,6.0,10.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0
0.55,0.5,5.0,1.0,0.0,13.0,24.0,23.0,22.0,11.0,8.0,10.0,3.0,5.0,3.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0
0.55,0.5,5.0,1.0,0.0,20.0,35.0,35.0,17.0,16.0,15.0,6.0,3.0,5.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0
0.55,0.5,5.0,1.0,0.0,18.0,41.0,41.0,30.0,25.0,19.0,12.0,12.0,5.0,2.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0
0.55,0.5,5.0,1.0,0.0,19.0,29.0,30.0,20.0,26.0,16.0,5.0,9.0,9.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0
0.55,0.5,5.0,1.0,0.0,13.0,44.0,40.0,42.0,21.0,15.0,9.0,6.0,5.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0
0.55,0.5,5.0,1.0,0.0,29.0,24.0,28.0,17.0,14.0,7.0,6.0,10.0,3.0,3.0,8.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0
0.55,0.5,5.0,1.0,0.0,24.0,25.0,34.0,26.0,19.0,12.0,14.0,8.0,4.0,4.0,3.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0
0.55,0.5,5.0,1.0,0.0,13.0,41.0,44.0,25.0,27.0,24.0,10.0,3.0,5.0,4.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,419.0
0.55,0.5,5.0,1.0,0.0,21.0,30.0,29.0,33.0,34.0,29.0,13.0,20.0,8.0,1.0,5.0,3.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,487.0
0.55,0.5,5.0,1.0,0.0,18.0,38.0,35.0,22.0,14.0,11.0,5.0,8.0,5.0,6.0,5.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0
0.55,0.5,5.0,1.0,0.0,22.0,34.0,38.0,32.0,31.0,15.0,13.0,15.0,16.0,9.0,7.0,10.0,5.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0
0.55,0.5,5.0,1.0,0.0,11.0,32.0,38.0,23.0,14.0,14.0,9.0,10.0,5.0,0.0,6.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0
0.55,0.5,5.0,1.0,0.0,1.0,15.0,39.0,34.0,33.0,21.0,19.0,22.0,11.0,9.0,9.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0
0.55,0.5,5.0,1.0,0.0,17.0,36.0,32.0,28.0,20.0,11.0,4.0,12.0,3.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0
0.55,0.5,5.0,1.0,0.0,2.0,35.0,33.0,19.0,23.0,22.0,14.0,7.0,3.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,324.0
0.55,0.5,5.0,1.0,0.0,17.0,50.0,38.0,22.0,25.0,20.0,21.0,8.0,4.0,2.0,2.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,419.0
0.55,0.5,5.0,1.0,0.0,19.0,48.0,26.0,26.0,22.0,6.0,8.0,6.0,6.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0
