inf_prop,diag_prop,i0,beta_measure,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total_immunized
0.55,0.5,5.0,1.0,5.0,136.0,224.0,195.0,169.0,141.0,104.0,75.0,51.0,32.0,16.0,10.0,6.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0
0.55,0.5,5.0,1.0,5.0,171.0,194.0,176.0,155.0,121.0,100.0,77.0,70.0,65.0,44.0,32.0,21.0,14.0,9.0,7.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0
0.55,0.5,5.0,1.0,5.0,167.0,170.0,132.0,104.0,88.0,63.0,44.0,36.0,23.0,12.0,10.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,318.0
0.55,0.5,5.0,1.0,5.0,195.0,194.0,193.0,150.0,102.0,79.0,65.0,36.0,23.0,17.0,12.0,9.0,6.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0
0.55,0.5,5.0,1.0,5.0,169.0,171.0,165.0,126.0,113.0,95.0,76.0,66.0,60.0,47.0,34.0,21.0,14.0,11.0,9.0,6.0,6.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,506.0
0.55,0.5,5.0,1.0,5.0,177.0,180.0,134.0,96.0,63.0,54.0,33.0,23.0,18.0,14.0,8.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,326.0
0.55,0.5,5.0,1.0,5.0,159.0,156.0,133.0,108.0,70.0,47.0,33.0,29.0,24.0,19.0,18.0,21.0,22.0,20.0,17.0,20.0,12.0,10.0,7.0,6.0,4.0,2.0,2.0,1.0,1.0,379.0
0.55,0.5,5.0,1.0,5.0,186.0,165.0,114.0,81.0,56.0,35.0,29.0,21.0,19.0,12.0,8.0,9.0,9.0,8.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,351.0
0.55,0.5,5.0,1.0,5.0,146.0,144.0,119.0,99.0,83.0,61.0,37.0,19.0,13.0,10.0,10.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0
0.55,0.5,5.0,1.0,5.0,192.0,161.0,136.0,105.0,83.0,63.0,41.0,34.0,30.0,20.0,13.0,9.0,7.0,7.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,344.0
