inf_prop,diag_prop,i0,beta_measure,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total_immunized
0.05,0.5,5.0,1.0,714.4285714285714,714.4285714285714,714.4285714285714,714.4285714285714,714.4285714285714,714.4285714285714,706.5723570484982,509.4234791364543,616.1854193161099,592.8124202590399,622.8151274467898,667.1650030199861,658.5260500818858,658.5260500818858,658.5260500818858,646.0833188793961,654.832818958129,652.0942674831167,690.0894736796254,693.0501466481202,693.191418549936,693.191418549936,693.191418549936,693.191418549936,693.191418549936,710.4285714285737,42.0
0.05,0.5,5.0,1.0,714.4285714285714,714.2857142857165,690.1428571428579,659.7076632097669,676.7521520535493,656.8005422770575,648.6006213800041,648.463114076574,475.2710952428313,422.0917379316477,415.9785320964944,391.72318735004063,375.6768746667226,343.3690736396555,417.6108624309575,573.8884961335057,576.5844120433511,589.3497160154578,623.5644600163898,658.0476565969487,658.0476565969487,658.7371945768075,693.8774221799295,693.8774221799295,694.0186572933424,694.0186572933424,74.0
0.05,0.5,5.0,1.0,714.4285714285714,714.2857142857165,713.8571601681462,713.8571601681462,714.0000000000072,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,714.4285714285654,5.0
0.05,0.5,5.0,1.0,714.4285714285714,701.0009712485243,701.0009712485243,701.0009712485243,700.859091014228,700.859091014228,714.1428628028906,714.1428628028906,714.2857142857174,714.2857142857174,714.2857142857174,714.4285714285663,714.4285714285663,714.4285714285663,714.4285714285663,714.4285714285663,714.4285714285663,714.4285714285663,714.4285714285663,714.4285714285663,714.4285714285663,714.4285714285663,714.4285714285663,714.4285714285663,714.4285714285663,714.4285714285663,5.0
0.05,0.5,5.0,1.0,714.4285714285714,714.2857142857165,655.1582693088278,583.2720326524624,578.5868757249771,563.1400611288103,551.0248245515884,538.3786298062931,461.5681457169849,447.2477530549796,530.7490229697544,532.1017824481817,553.653172794728,579.165084179199,583.922837794548,592.0794701668007,598.9827646715867,598.9827646715867,603.3080391223418,620.1360018608082,629.0399199831746,631.044885119307,660.2641841869219,660.2641841869219,689.859352728862,689.859352728862,90.0
0.05,0.5,5.0,1.0,714.4285714285714,700.4336087074657,700.2917522278848,700.4336087074657,701.142857142866,701.0009712485244,701.0009712485244,700.7172532879192,700.7172532879192,700.7172532879192,701.142857142866,701.142857142866,701.142857142866,701.142857142866,701.142857142866,714.4285714285667,714.4285714285667,714.4285714285667,714.4285714285667,714.4285714285667,714.4285714285667,714.4285714285667,714.4285714285667,714.4285714285667,714.4285714285667,714.4285714285667,5.0
0.05,0.5,5.0,1.0,714.4285714285714,714.4285714285664,714.4285714285664,713.7142857142842,713.7142857142842,713.7142857142842,713.5714579861764,714.2857142857172,713.857160168147,713.857160168147,713.857160168147,713.857160168147,713.857160168147,713.857160168147,713.857160168147,713.857160168147,713.857160168147,713.857160168147,713.857160168147,713.857160168147,713.857160168147,713.857160168147,713.857160168147,713.857160168147,714.2857142857172,714.2857142857172,4.0
0.05,0.5,5.0,1.0,714.4285714285714,714.4285714285714,714.4285714285714,530.2738096307644,597.1617941457941,604.6121700023327,580.9020928528629,581.1425749026366,566.0658352482242,673.0055433694795,697.3296718595318,708.71428571435,708.71428571435,708.71428571435,708.71428571435,708.71428571435,708.71428571435,708.71428571435,708.71428571435,708.71428571435,708.71428571435,708.71428571435,708.71428571435,708.71428571435,708.71428571435,708.71428571435,19.0
0.05,0.5,5.0,1.0,714.4285714285714,714.4285714285714,713.7142857142834,697.0344707912582,700.433608707466,713.7142857142844,713.7142857142844,713.7142857142844,713.7142857142844,713.7142857142844,713.7142857142844,713.7142857142844,713.5714579861766,713.5714579861766,713.5714579861766,714.2857142857174,714.2857142857174,714.4285714285664,714.4285714285664,714.4285714285664,714.4285714285664,714.4285714285664,714.4285714285664,714.4285714285664,714.4285714285664,714.4285714285664,6.0
0.05,0.5,5.0,1.0,714.4285714285714,713.7142857142834,713.2858042473284,701.7210386351237,705.7181818221568,612.5982525236408,624.6235254711399,624.7560084694219,624.7560084694219,624.7560084694219,647.921055337271,648.3248422888034,630.4672169924311,688.1190605732703,688.1190605732703,695.5714285714618,714.4285714285983,714.4285714285983,714.4285714285983,714.4285714285983,714.4285714285983,714.4285714285983,714.4285714285983,714.4285714285983,714.4285714285983,714.4285714285983,26.0
